Time,Count per minute
2025-03-29 00:04,3
2025-03-29 00:05,1
2025-03-29 00:06,1
2025-03-29 00:07,4
2025-03-29 00:08,1
2025-03-29 00:11,4
2025-03-29 00:13,4
2025-03-29 00:14,2
2025-03-29 00:15,2
2025-03-29 00:16,2
2025-03-29 00:17,3
2025-03-29 00:18,1
2025-03-29 00:19,4
2025-03-29 00:20,1
2025-03-29 00:21,2
2025-03-29 00:22,2
2025-03-29 00:23,2
2025-03-29 00:24,3
2025-03-29 00:25,2
2025-03-29 00:26,4
2025-03-29 00:27,4
2025-03-29 00:28,1
2025-03-29 00:29,2
2025-03-29 00:30,5
2025-03-29 00:31,2
2025-03-29 00:32,1
2025-03-29 00:33,1
2025-03-29 00:34,1
2025-03-29 00:35,1
2025-03-29 00:37,3
2025-03-29 00:38,3
2025-03-29 00:39,2
2025-03-29 00:40,2
2025-03-29 00:41,4
2025-03-29 00:42,3
2025-03-29 00:43,2
2025-03-29 00:44,3
2025-03-29 00:45,3
2025-03-29 00:46,1
2025-03-29 00:47,5
2025-03-29 00:48,2
2025-03-29 00:49,2
2025-03-29 00:50,1
2025-03-29 00:51,2
2025-03-29 00:52,4
2025-03-29 00:53,3
2025-03-29 00:54,4
2025-03-29 00:55,4
2025-03-29 00:56,2
2025-03-29 00:57,2
2025-03-29 00:58,4
2025-03-29 01:00,2
2025-03-29 01:01,1
2025-03-29 01:02,1
2025-03-29 01:03,2
2025-03-29 01:04,1
2025-03-29 01:05,3
2025-03-29 01:06,1
2025-03-29 01:07,1
2025-03-29 01:08,5
2025-03-29 01:09,2
2025-03-29 01:10,1
2025-03-29 01:11,3
2025-03-29 01:12,1
2025-03-29 01:13,2
2025-03-29 01:14,3
2025-03-29 01:15,3
2025-03-29 01:16,3
2025-03-29 01:17,2
2025-03-29 01:18,3
2025-03-29 01:19,5
2025-03-29 01:21,1
2025-03-29 01:22,2
2025-03-29 01:23,4
2025-03-29 01:24,4
2025-03-29 01:25,2
2025-03-29 01:26,3
2025-03-29 01:27,1
2025-03-29 01:28,1
2025-03-29 01:29,2
2025-03-29 01:30,4
2025-03-29 01:31,2
2025-03-29 01:32,1
2025-03-29 01:33,2
2025-03-29 01:34,2
2025-03-29 01:35,3
2025-03-29 01:36,2
2025-03-29 01:37,2
2025-03-29 01:38,1
2025-03-29 01:39,1
2025-03-29 01:40,1
2025-03-29 01:41,2
2025-03-29 01:42,4
2025-03-29 01:43,5
2025-03-29 01:44,3
2025-03-29 01:46,1
2025-03-29 01:48,4
2025-03-29 01:49,2
2025-03-29 01:50,1
2025-03-29 01:51,5
2025-03-29 01:52,1
2025-03-29 01:54,3
2025-03-29 01:55,2
2025-03-29 01:56,2
2025-03-29 01:57,1
2025-03-29 01:59,1
2025-03-29 02:00,1
2025-03-29 02:01,2
2025-03-29 02:03,1
2025-03-29 02:04,3
2025-03-29 02:05,3
2025-03-29 02:06,1
2025-03-29 02:07,2
2025-03-29 02:08,2
2025-03-29 02:09,2
2025-03-29 02:11,1
2025-03-29 02:12,3
2025-03-29 02:13,4
2025-03-29 02:15,1
2025-03-29 02:16,2
2025-03-29 02:17,3
2025-03-29 02:18,3
2025-03-29 02:19,1
2025-03-29 02:20,3
2025-03-29 02:21,1
2025-03-29 02:22,1
2025-03-29 02:23,4
2025-03-29 02:24,1
2025-03-29 02:25,2
2025-03-29 02:27,2
